Item,Description,Quantity On Hand,Quantity On Purchase Order,Price,Width,Height,Depth,Cub. ft,Weight
Broshures and Boklets,,0.00 ,0.00 ,0.00 ,,,,,
Broshures and Boklets:Booklet LessCare, LessCare Price book  April 2013,"1,850.00 ",0.00 ,0.00 ,,,,,
Broshures and Boklets:Flyer Cherryville,"Flyer 8 1/2"" x 11 Full Color 100Lb Gloss Front/Back With Logo Cherryville, 500 pcs","1,000.00 ",0.00 ,0.00 ,,,,,
Broshures and Boklets:Flyer Cherryville NO Logo,"Flyer 8 1/2"" x 11 Full Color 100Lb Gloss Front/Back With NO Logo Cherryville, 500 pcs","1,000.00 ",0.00 ,0.00 ,,,,,
Broshures and Boklets:Flyer KronoSwiss,"Flyer 8 1/2"" x 11 Full Color 100Lb Gloss Front/Back KronoSwiss, 500 pcs","1,000.00 ",0.00 ,0.00 ,,,,,
Broshures and Boklets:Flyer Newport,"Flyer 8 1/2"" x 11 Full Color 100Lb Gloss Front/Back With Logo Newport, 500 pcs","1,000.00 ",0.00 ,0.00 ,,,,,
Broshures and Boklets:Flyer Newport NO Logo,"Flyer 8 1/2"" x 11 Full Color 100Lb Gloss Front/Back With NO Logo Newport, 500 pcs","1,000.00 ",0.00 ,0.00 ,,,,,
Broshures and Boklets:Flyer Richmond,"Flyer 8 1/2"" x 11 Full Color 100Lb Gloss Front/Back With Logo Richmond, 500 pcs","1,000.00 ",0.00 ,0.00 ,,,,,
Broshures and Boklets:Flyer Richmond NO Logo,"Flyer 8 1/2"" x 11 Full Color 100Lb Gloss Front/Back With NO Logo Richmond, 500 pcs","1,000.00 ",0.00 ,0.00 ,,,,,
Cabinets(Cherryville),,0.00 ,0.00 ,0.00 ,,,,,
Cabinets(Cherryville):B09-Cherryville,B09-Cherryville Base Pantry Pull Out Cabinet,5.00-,145.00 ,319.00 ,11.23,36.42,27.17,6.43,31.0
Cabinets(Cherryville):B12-Cherryville,B12-Cherryville,9.00-,240.00 ,259.00 ,25.2,5.71,36.03,3,34.5
Cabinets(Cherryville):B15-Cherryville,B15-Cherryville,2.00-,235.00 ,279.00 ,25.2,5.71,36.03,3,38.7
Cabinets(Cherryville):B18-Cherryville,B18-Cherryville,3.00 ,215.00 ,299.00 ,25.2,5.71,36.03,3,43.0
Cabinets(Cherryville):B21-Cherryville,B21-Cherryville,0.00 ,110.00 ,309.00 ,25.2,5.71,36.03,3,47.3
Cabinets(Cherryville):B24-Cherryville,B24-Cherryville,4.00-,235.00 ,349.00 ,25.2,5.71,38.78,3.23,53.0
Cabinets(Cherryville):B27-Cherryville,B27-Cherryville,4.00 ,95.00 ,369.00 ,28.35,5.71,38.78,3.64,57.2
Cabinets(Cherryville):B30-Cherryville,B30-Cherryville,8.00 ,185.00 ,429.00 ,31.5,5.71,38.78,4.04,61.6
Cabinets(Cherryville):B33-Cherryville,B33-Cherryville,3.00 ,70.00 ,459.00 ,33.08,5.71,36.03,3.94,67.5
Cabinets(Cherryville):B36-Cherryville,B36-Cherryville,29.00 ,100.00 ,479.00 ,33.08,5.71,37.6,4.11,71.7
Cabinets(Cherryville):B42-Cherryville,B42-Cherryville,7.00 ,22.00 ,529.00 ,33.08,5.71,43.51,4.76,80.9
Cabinets(Cherryville):B48-Cherryville,B48-Cherryville,6.00 ,27.00 ,589.00 ,33.08,5.71,49.41,5.4,88.1
Cabinets(Cherryville):BECF24-Cherryville,BECF24-Cherryville,26.00 ,25.00 ,359.00 ,25.2,6.11,36.03,3.21,53.7
Cabinets(Cherryville):BM8-Cherryville,BM8-Cherryville,10.00 ,40.00 ,209.00 ,1.19,0.79,19.49,0.27,28.6
Cabinets(Cherryville):BP4896-Cherryville,BP4896-Cherryville,122.00 ,40.00 ,239.00 ,49.22,0.91,97.45,2.52,44.4
Cabinets(Cherryville):BWNT9-Cherryville,BWNT9-Cherryville,6.00 ,18.00 ,249.00 ,11.23,31.89,25.6,5.3,49.5
Cabinets(Cherryville):DB12-Cherryville,DB12-Cherryville,0.00 ,65.00 ,409.00 ,25.2,6.89,38.78,3.9,54.6
Cabinets(Cherryville):DB15-Cherryville,DB15-Cherryville,31.00 ,65.00 ,439.00 ,25.2,6.89,38.78,3.9,61.3
Cabinets(Cherryville):DB18-Cherryville,DB18-Cherryville,30.00 ,65.00 ,469.00 ,25.2,6.89,38.78,3.9,65.4
Cabinets(Cherryville):DB21-Cherryville,DB21-Cherryville,6.00 ,35.00 ,489.00 ,25.2,6.89,38.78,3.9,52.3
Cabinets(Cherryville):DB24-Cherryville,DB24-Cherryville,22.00 ,45.00 ,499.00 ,25.2,6.89,38.78,3.9,58.0
Cabinets(Cherryville):DC2430-Cherryville,DC2430-Cherryville,12.00 ,150.00 ,369.00 ,20.08,8.08,34.45,3.24,59.2
Cabinets(Cherryville):DC2436-Cherryville,DC2436-Cherryville,3.00-,107.00 ,399.00 ,20.08,8.08,37.6,3.53,66.8
Cabinets(Cherryville):DC2442-Cherryville,DC2442-Cherryville,1.00-,85.00 ,429.00 ,20.08,8.86,43.51,4.48,65.1
Cabinets(Cherryville):DC2736-Cherryville,DC2736-Cherryville,18.00 ,10.00 ,469.00 ,24.41,8.08,37.6,4.29,67.8
Cabinets(Cherryville):DC2742-Cherryville,DC2742-Cherryville,7.00 ,23.00 ,489.00 ,24.41,8.86,43.51,5.45,65.0
Cabinets(Cherryville):DCMD2430-Cherryville,DCMD2430-Cherryville Mullion Door Only,15.00 ,15.00 ,199.00 ,16.15,1.78,30.12,0.50,8.9
Cabinets(Cherryville):DCMD2436-Cherryville,DCMD2436-Cherryville Mullion Door Only,9.00 ,30.00 ,229.00 ,16.15,1.78,36.03,0.60,10.4
Cabinets(Cherryville):DCMD2442-Cherryville,DCMD2442-Cherryville Mullion Door Only,10.00 ,20.00 ,249.00 ,16.15,1.78,41.93,0.70,11.7
Cabinets(Cherryville):DCMD2736-Cherryville,DCMD2736-Cherryville Mullion Door Only,18.00 ,0.00 ,229.00 ,16.15,1.78,36.03,0.60,10.4
Cabinets(Cherryville):DCMD2742-Cherryville,DCMD2742-Cherryville Mullion Door Only,1.00-,22.00 ,249.00 ,16.15,1.78,41.93,0.70,11.7
Cabinets(Cherryville):F330-Cherryville,F330-Cherryville,205.00 ,0.00 ,59.00 ,0.91,0.4,3.17,0.07,2.0
Cabinets(Cherryville):F342-Cherryville,F342-Cherryville,201.00 ,0.00 ,79.00 ,0.91,0.4,4.36,0.09,3.0
Cabinets(Cherryville):F396-Cherryville,F396-Cherryville,64.00 ,0.00 ,149.00 ,1.03,0.79,19.49,0.23,6.0
Cabinets(Cherryville):F531A45-Cherryville,F531A45-Cherryville,31.00 ,0.00 ,139.00 ,0.91,0.63,3.17,0.11,2.0
Cabinets(Cherryville):F630-Cherryville,F630-Cherryville,77.00 ,0.00 ,89.00 ,0.91,0.71,3.17,0.12,4.0
Cabinets(Cherryville):F642-Cherryville,F642-Cherryville,24.00 ,0.00 ,99.00 ,0.91,0.71,4.36,0.17,5.0
Cabinets(Cherryville):F696-Cherryville,F696-Cherryville,64.00 ,0.00 ,209.00 ,1.46,0.99,19.49,0.41,11.0
Cabinets(Cherryville):FF396-Cherryville,FF396-Cherryville,32.00 ,0.00 ,219.00 ,1.03,0.79,19.49,0.23,3.7
Cabinets(Cherryville):FFROS3X3-Cherryville,FFROS3X3-Cherryville,46.00 ,0.00 ,79.00 ,0.42,0.67,0.44,0.01,0.2
Cabinets(Cherryville):LRB30-Cherryville,LRB30-Cherryville,4.00 ,25.00 ,599.00 ,31.5,6.89,38.78,4.87,89.0
Cabinets(Cherryville):LRB36-Cherryville,LRB36-Cherryville,8.00 ,15.00 ,649.00 ,33.08,6.89,37.6,4.96,101.0
Cabinets(Cherryville):LRM8-Cherryville,LRM8-Cherryville,28.00 ,30.00 ,109.00 ,1.03,0.48,19.49,0.14,3.0
Cabinets(Cherryville):MCROWN-S-Cherryville,MCROWN-S-Cherryville,137.00 ,0.00 ,189.00 ,2,3,97,0.337,2.2
Cabinets(Cherryville):MCROWN1-Cherryville,MCROWN1-Cherryville,40.00 ,0.00 ,99.00 ,0.95,0.56,19.49,0.15,1.5
Cabinets(Cherryville):MCROWN2-Cherryville,MCROWN2-Cherryville,239.00 ,0.00 ,109.00 ,0.95,0.79,19.49,0.21,2.7
Cabinets(Cherryville):MCROWN3-Cherryville,MCROWN3-Cherryville,156.00 ,0.00 ,189.00 ,1.15,1.11,19.49,0.36,3.9
Cabinets(Cherryville):MCV8-Cherryville,MCV8-Cherryville,70.00 ,0.00 ,59.00 ,0.52,0.24,9.75,0.07,1.1
Cabinets(Cherryville):MOC8-Cherryville,MOC8-Cherryville,135.00 ,0.00 ,59.00 ,0.32,0.30,9.75,0.06,1
Cabinets(Cherryville):MSW8-Cherryville,MSW8-Cherryville,267.00 ,0.00 ,59.00 ,0.18,0.12,4.88,0.03,0.6
Cabinets(Cherryville):OC3084-Cherryville,OC3084-Cherryville  (customer must cut out to install oven),3.00 ,7.00 ,"1,399.00 ",31.5,6.5,85.63,10.14,154
Cabinets(Cherryville):OC3090-Cherryville,OC3090-Cherryville  (customer must cut out to install oven),9.00 ,2.00 ,"1,499.00 ",31.5,6.5,91.54,10.84,161.7
Cabinets(Cherryville):OC3096-Cherryville,OC3096-Cherryville  (customer must cut out to install oven),7.00 ,2.00 ,"1,529.00 ",31.5,6.5,97.45,11.54,172.9
Cabinets(Cherryville):PEPR335-Cherryville,PEPR335-Cherryville,72.00 ,110.00 ,139.00 ,26.19,2.17,36.03,1.19,11.9
Cabinets(Cherryville):PREPRP1.596-Cherryville,PREPRP1.596-Cherryville,42.00 ,160.00 ,259.00 ,26.19,2.17,97.45,3.2,28.2
Cabinets(Cherryville):REED96-Cherryville,REED96-Cherryville,15.00 ,0.00 ,109.00 ,0.58,0.46,9.75,0.15,21.0
Cabinets(Cherryville):ROPE-Cherryville,ROPE-Cherryville ..(BLACK COLOR),182.00 ,0.00 ,59.00 ,0.26,0.12,4.88,0.04,1.0
Cabinets(Cherryville):SB24-Cherryville,SB24-Cherryville,15.00 ,50.00 ,309.00 ,25.2,5.71,36.03,3,44.9
Cabinets(Cherryville):SB27-Cherryville,SB27-Cherryville,1.00-,60.00 ,329.00 ,28.35,5.71,36.03,3.38,47.1
Cabinets(Cherryville):SB30-Cherryville,SB30-Cherryville,32.00 ,120.00 ,359.00 ,31.5,5.71,36.03,3.75,50.6
Cabinets(Cherryville):SB33-Cherryville,SB33-Cherryville,5.00 ,55.00 ,379.00 ,33.08,5.71,36.03,3.94,55.4
Cabinets(Cherryville):SB36-Cherryville,SB36-Cherryville,51.00 ,135.00 ,409.00 ,33.08,5.71,37.6,4.11,57.2
Cabinets(Cherryville):SB42-Cherryville,SB42-Cherryville,2.00 ,15.00 ,509.00 ,33.08,5.71,43.51,4.76,66
Cabinets(Cherryville):SB48-Cherryville,SB48-Cherryville,10.00 ,5.00 ,579.00 ,33.08,5.71,49.41,5.4,77.0
