URL,Title,HTTP Status,Total Links,Page Authority,Number of Linking Root Domains,Facebook Shares,Facebook Likes,Twitter Shares,Google +1 Shares
http://www.finedesigns.com/,"Fine Designs - Custom Event Apparel, On-Site Event Merchandise",200,1668,42,55,30,48,1,0
http://www.finedesigns.com/organizations/des-moines-menace-online-store.html,Des Moines Menace Online Store - Organizations,200,3783,35,3,1,0,0,0
http://www.finedesigns.com/organizations/fieldhouse-usa.html,Fieldhouse USA - Organizations,200,1945,33,2,0,0,0,0
http://www.finedesigns.com/organizations/ncysa-state-cup/2013-kepner-presidents-state-cup.html,2013 Kepner Presidents State Cup - NCYSA State Cup - Organizations,200,1570,30,6,0,0,0,0
http://www.finedesigns.com/event-apparel/by-month/january/2014-eastern-synchronized-skating-sectional-championships.html,2014 Eastern Synchronized Skating Sectional Championships - January - By Month - Event Apparel,200,1623,30,4,4,4,0,0
http://www.finedesigns.com/organizations/ncysa-state-cup/2013-us-youth-soccer-state-cup.html,2013 US Youth Soccer State Cup - NCYSA State Cup - Organizations,200,1601,29,4,0,0,0,0
http://www.finedesigns.com/event-apparel/by-month/february/2014-u-s-synchronized-skating-championships.html,2014 U.S. Synchronized Skating Championships - February - By Month - Event Apparel,200,1559,29,2,2,0,0,0
http://www.finedesigns.com/event-apparel/by-type/basketball/iowa-team-fury-basketball.html,Iowa Team Fury Basketball - Basketball - By Type - Event Apparel,200,1432,28,2,0,0,0,0
http://www.finedesigns.com/event-apparel/by-month/august/spirit-kick-off-classic-xxvii.html,"",404,1475,28,2,0,0,0,0
http://www.finedesigns.com/organizations/national-ymca-competitive-swimming-and-diving/ymca-short-course-national-championships.html,"",No Data,1394,28,5,0,0,0,0
http://www.finedesigns.com/event-apparel/by-month/february/2014-bsc-friendlies.html,2014 BSC Friendlies - February - By Month - Event Apparel,200,1523,27,4,0,0,0,0
http://www.finedesigns.com/organizations/msnm.html,MSNM - Organizations,200,1464,27,2,0,0,0,0
http://www.finedesigns.com/event-apparel/by-month/november/hunt-country-fall-classic.html,"",404,1463,27,4,0,0,0,0
http://www.finedesigns.com/event-apparel/by-month/november/2013-2014-norcal-state-cup.html,2013/2014 Norcal State Cup - November - By Month - Event Apparel,200,1524,27,3,0,0,0,0
http://www.finedesigns.com/event-apparel/by-month/march/uscaa-basketball-national-championships.html,USCAA Basketball National Championships - March - By Month - Event Apparel,200,1518,27,2,0,0,0,0
http://www.finedesigns.com/event-apparel/by-month/june/2014-us-youth-soccer-region-iii-south-championships.html,2014 US Youth Soccer Region III South Championships - June - By Month - Event Apparel,200,1189,27,2,0,0,0,0
http://www.finedesigns.com/event-apparel/by-month/february/arlington-spring-invitational.html,Arlington Spring Invitational - February - By Month - Event Apparel,200,1522,27,2,0,0,0,0
http://www.finedesigns.com/event-apparel/by-month/january/2014-western-national-roundup.html,2014 Western National Roundup - January - By Month - Event Apparel,200,1519,26,2,0,0,0,0
http://www.finedesigns.com/event-apparel/by-month/october/brandywine-classic.html,"",404,1459,26,2,0,0,0,0
http://www.finedesigns.com/event-apparel/by-month/march/2014-battle-beyond-the-ring.html,2014 Battle Beyond The Ring - March - By Month - Event Apparel,200,1521,26,2,0,0,0,0
http://www.finedesigns.com/event-apparel/by-month/march/6th-annual-manhattan-kick-off-classic-and-college-showcase.html,6th Annual Manhattan Kick-Off Classic and College Showcase - March - By Month - Event Apparel,200,1519,26,2,1,1,0,0
http://www.finedesigns.com/event-apparel/by-month/march/icebreaker-tournament.html,Icebreaker Tournament - March - By Month - Event Apparel,200,1519,26,2,3,0,0,0
http://www.finedesigns.com/event-apparel/by-month/january/2014-sand-storm-lacrosse-tournament.html,2014 Sand Storm Lacrosse Tournament - January - By Month - Event Apparel,200,1522,25,3,0,0,0,0
http://www.finedesigns.com/event-apparel/by-month/may/virginian-elite-showcase.html,"",No Data,561,25,2,0,0,2,0
http://www.finedesigns.com/event-apparel/by-month/november/17th-annual-midlothian-mega-blast-tournament.html,17th Annual Midlothian Mega Blast Tournament - November - By Month - Event Apparel,200,1460,25,2,0,0,0,0
http://www.finedesigns.com/event-apparel/by-month/january/2014-tfc-friendlies.html,2014 TFC Friendlies  - January - By Month - Event Apparel,200,1521,25,3,,,,
http://www.finedesigns.com/event-apparel/by-month/october/31st-annual-kickers-columbus-day-tournament.html,"",404,1459,25,2,,,,
http://www.finedesigns.com/event-apparel/by-month/may/2013-kickers-colonial-cup.html,"",404,1460,25,2,,,,
http://www.finedesigns.com/event-apparel/by-month/august/2013-pwsi-toys-for-tots-tournament.html,2013 PWSI Toys for Tots Tournament - August - By Month - Event Apparel,200,1458,25,2,,,,
http://www.finedesigns.com/event-apparel/by-month/february/college-showcase-tournament.html,College Showcase Tournament - February - By Month - Event Apparel,200,1520,25,2,,,,
http://www.finedesigns.com/event-apparel/by-month/august/2013-houston-labor-day-cup.html,"",404,1461,25,2,,,,
http://www.finedesigns.com/event-apparel/by-month/february/2014-presidents-day-invitational.html,2014 Presidents Day Invitational - February - By Month - Event Apparel,200,1520,25,2,,,,
http://www.finedesigns.com/event-apparel/by-month/june/2013-powerade-state-games-of-north-carolina.html,2013 Powerade State Games of North Carolina - June - By Month - Event Apparel,200,1459,25,2,,,,
http://www.finedesigns.com/organizations/advanced-youth-soccer-br-educational-system-ayses.html,Advanced Youth Soccer Educational System (AYSES) - Organizations,200,1520,25,2,,,,
http://www.finedesigns.com/event-apparel/by-month/february/ultimate-cup-14.html,Ultimate Cup - February - By Month - Event Apparel,200,1519,25,2,,,,
http://www.finedesigns.com/event-apparel/by-month/march/annandale-premier-cup.html,"",No Data,1519,25,2,,,,
http://www.finedesigns.com/event-apparel/by-month/may/15th-annual-fc-delco-players-cup.html,"",No Data,1259,25,2,,,,
http://www.finedesigns.com/event-apparel/by-month/march/jefferson-cup.html,2014 Jefferson Cup - March - By Month - Event Apparel,200,1389,25,2,,,,
http://www.finedesigns.com/event-apparel/by-month/february/2014-dallas-lacrosse-springfest.html,2014 Dallas Lacrosse Springfest - February - By Month - Event Apparel,200,1518,25,2,,,,
http://www.finedesigns.com/organizations/washington-youth-soccer/2014-us-youth-soccer-washington-state-championships.html,2014 US Youth Soccer Washington State Championships - Washington Youth Soccer - Organizations,200,1518,24,2,,,,
http://www.finedesigns.com/event-apparel/by-month/november/2013-dick-s-sporting-goods-lone-star-shootout.html,"",404,1457,24,2,,,,
http://www.finedesigns.com/organizations/washington-youth-soccer/washington-youth-soccer-founders-cup.html,2014 Washington Youth Soccer Founders Cup - Washington Youth Soccer - Organizations,200,1519,24,2,,,,
http://www.finedesigns.com/organizations/washington-youth-soccer/washington-youth-soccer-recreational-cup.html,2013 Washington Youth Soccer Recreational Cup - Washington Youth Soccer - Organizations,200,1518,24,2,,,,
http://www.finedesigns.com/organizations/washington-youth-soccer/golazo-futsal-cup.html,2013 Golazo Futsal Cup - Washington Youth Soccer - Organizations,200,1518,24,2,,,,
http://www.finedesigns.com/event-apparel/by-month/july/2013-world-horseshoe-pitching-championships.html,2013 World Horseshoe Pitching Championships - July - By Month - Event Apparel,200,1459,24,2,,,,
http://www.finedesigns.com/event-apparel/by-month/august/state-games-of-america.html,State Games of America - August - By Month - Event Apparel,200,1459,24,2,,,,
http://www.finedesigns.com/event-apparel/by-month/december/pwsi-holiday-8v8-shootout.html,PWSI Holiday 8v8 Shootout - December - By Month - Event Apparel,200,1458,24,2,,,,
http://www.finedesigns.com/event-apparel/by-month/october/edl-columbus-day-invitational.html,"",404,1457,24,2,,,,
http://www.finedesigns.com/organizations/imt-des-moines-marathon.html,"",No Data,1382,24,2,,,,
http://www.finedesigns.com/organizations/2011wpfg.html,"",404,33,24,2,,,,
http://www.finedesigns.com/organizations/national-ymca-competitive-swimming-and-diving/2013-ymca-long-course-national-championships.html,2013 YMCA Long Course National Championships - National YMCA Competitive Swimming And Diving  - Organizations,200,1519,24,3,,,,
http://www.finedesigns.com/event-apparel/by-month/april/jeff-doss-grand-slam-open-nationals.html,"",No Data,1353,24,2,,,,
http://www.finedesigns.com/organizations/2014uspfc.html,"",No Data,1353,24,2,,,,
http://www.finedesigns.com/event-apparel/by-month/october/battlefield-tournament.html,"",404,1458,24,2,,,,
http://www.finedesigns.com/event-apparel/by-month/january/2014-midwest-and-pacific-coast-synchronized-skating-sectional-championship.html,2014 Midwest and Pacific Coast Synchronized Skating Sectional Championship - January - By Month - Event Apparel,200,1518,24,2,,,,
